State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
AK,NorthSlopeBorough,7,11,7,11,836,93,80.9,12.9,35.4,38.2,13.4
AK,NorthwestArcticBorough,7,11,7,11,1220,206,75.7,20.7,41.8,25.4,12
AK,PetersburgCensusArea,,,9,11,,,,4.6,33.2,37.1,25.2
AK,PrinceofWales-HyderCensusArea,,,9,10,,,,8.9,42.1,32.8,16.3
AK,PrinceofWales-OuterKetchikanCensusArea,9,12,,,882,669,46.6,,,,
AK,SitkaCityandBorough,7,11,7,11,1149,1118,36.1,8,21.7,37.5,32.9
AK,SkagwayMunicipality,,,9,12,,,,3.3,29,33.1,34.6
AK,Skagway-Yakutat-AngoonCensusArea,,,,,603,378,49.3,,,,
AK,Skagway-Hoonah-AngoonCensusArea,9,10,,,,,,,,,
AK,SoutheastFairbanksCensusArea,8,7,9,12,621,566,37.1,8.1,31.3,39.9,20.7
AK,UpperYukonDivision,,,,,533,175,61,,,,
AK,Valdez-CordovaCensusArea,9,11,9,11,1079,973,41.1,8.5,26.5,40.9,24.1
AK,WadeHamptonCensusArea,9,12,9,12,1174,56,93,23.2,48.3,24,4.5
AK,WrangellCityandBorough,,,9,12,,,,10.8,35.5,35,18.7
AK,Wrangell-PetersburgCensusArea,7,11,,,1132,810,45.8,,,,
AK,YakutatCityandBorough,9,12,9,12,,,,8.2,39.2,32.4,20.3
AK,Yukon-KoyukukCensusArea,8,7,9,12,1046,682,48.2,18.5,37.8,33.6,10.1
AZ,Arizona,,,,,383873,289781,41.9,14.1,24.5,34.3,27.1
AZ,ApacheCounty,6,6,6,6,8255,2360,66,24.2,32.9,32.9,10.1
AZ,CochiseCounty,4,5,3,2,13262,10004,44.1,13.7,23.7,39.5,23.1
AZ,CoconinoCounty,3,2,3,2,8439,5518,41.7,12.2,21.7,33.2,32.8
AZ,GilaCounty,4,3,4,3,8156,4602,53.8,16.4,30.1,36.4,17.1
AZ,GrahamCounty,6,8,7,8,4063,1926,52.7,14.8,34,37.7,13.6
AZ,GreenleeCounty,7,8,7,9,2785,1749,52.6,14.9,36.9,36.5,11.8
AZ,LaPazCounty,6,4,6,4,,,,23.1,35.7,31.1,10.2
AZ,MaricopaCounty,1,1,1,1,203922,164605,39.9,13.4,23.3,33.4,30
AZ,MohaveCounty,4,3,3,2,6407,5807,42.3,16.1,34.7,37,12.2
AZ,NavajoCounty,4,6,4,5,11808,5197,58.5,19,29,37.5,14.5
AZ,PimaCounty,2,2,2,2,68625,61658,36.9,12.5,22.8,34.6,30.1
AZ,PinalCounty,1,1,1,1,19028,8804,57.8,15.1,29.9,37.1,17.8
AZ,SantaCruzCounty,4,5,4,5,3934,1553,56.5,26.9,25.9,25.2,22
AZ,YavapaiCounty,3,2,3,2,10293,7054,45,10.1,25.9,39.1,24.9
AZ,YumaCounty,3,2,3,2,14896,8944,49.7,28.3,25.3,32.4,14
AR,Arkansas,,,,,635149,271150,60.1,15.7,35,28.7,20.6
AR,ArkansasCounty,6,6,6,6,8069,3225,62.8,16.8,44,25.4,13.9
AR,AshleyCounty,7,11,7,11,7896,3537,60.2,15.2,43.5,28.5,12.7
AR,BaxterCounty,7,8,7,8,5645,2998,53.9,13,35.7,33.9,17.4
AR,BentonCounty,2,2,2,2,16503,8355,56.6,13.6,30.7,26.2,29.6
AR,BooneCounty,7,8,7,8,6541,3413,56.1,15.1,36.6,33.2,15.1
AR,BradleyCounty,6,6,7,9,4997,1744,67.4,20.6,43,25.2,11.2
AR,CalhounCounty,9,8,9,8,2159,712,68.7,18.1,49,22.3,10.6
AR,CarrollCounty,6,6,6,6,4706,2177,59.8,16.6,35.9,30.5,17
AR,ChicotCounty,7,9,7,9,6808,1710,72.3,23.1,41.8,23.7,11.3
AR,ClarkCounty,7,8,7,8,6340,2356,58.4,14.6,35.1,28,22.3
AR,ClayCounty,7,9,7,9,8834,1962,76.7,22.8,44.4,23.1,9.8
AR,CleburneCounty,6,6,6,6,4829,1240,73.3,15.4,37.4,30,17.2
AR,ClevelandCounty,3,2,3,2,2659,1007,69.2,15.1,43.4,26.8,14.6
AR,ColumbiaCounty,7,8,7,8,8639,3518,61.1,16,35.2,27.5,21.3
AR,ConwayCounty,6,6,6,6,5819,2556,62.5,14.9,42.1,26.6,16.5
AR,CraigheadCounty,3,2,3,2,16609,6179,60.8,13.5,32.6,29.1,24.8
